City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,afaahiti,-17.75,-149.2833,26.6,79,31,7.21,PF,1742079149
146,vegreville,53.5001,-112.0518,-10.97,62,100,1.54,CA,1742079150
147,izumo,35.3667,132.7667,5.94,93,75,2.57,JP,1742079151
148,syanno,54.8106,29.7069,-0.86,65,3,2.07,BY,1742079152
149,dhidhdhoo,6.8833,73.1,28.0,73,11,2.98,MV,1742079153
150,xining,36.6167,101.7667,-6.46,48,89,1.77,CN,1742079154
151,cabo san lucas,22.8909,-109.9124,20.46,58,50,3.11,MX,1742078870
152,bereeda,11.8704,51.0579,24.52,83,0,3.26,SO,1742079156
153,saurimo,-9.6608,20.3916,18.39,94,100,1.26,AO,1742079157
154,lebu,-37.6167,-73.65,13.77,82,50,6.76,CL,1742079158
155,raduzhny,62.0961,77.475,1.22,98,100,6.39,RU,1742079159
156,tripoli,32.8752,13.1875,24.92,20,65,5.14,LY,1742079160
157,tralee,52.2704,-9.7026,4.8,82,48,1.43,IE,1742079161
158,vilyuchinsk,52.9306,158.4028,-2.85,73,70,5.41,RU,1742079163
159,twin falls,42.3505,-114.6445,6.19,49,75,8.75,US,1742079164
160,firuzabad,28.8438,52.5707,13.85,33,100,1.91,IR,1742079165
161,newman,37.3138,-121.0208,16.14,59,70,0.45,US,1742079166
162,ilanskiy,56.2358,96.065,-6.68,99,93,2.12,RU,1742079167
163,hamilton,39.1834,-84.5333,15.23,94,100,2.57,US,1742079168
164,cidreira,-30.1811,-50.2056,21.49,85,23,3.32,BR,1742079169
165,sirajganj,24.45,89.7167,22.97,90,2,4.09,BD,1742079170
166,tazovsky,67.4667,78.7,-3.38,78,91,12.36,RU,1742079171
167,atafu village,-8.5421,-172.5159,28.48,77,77,5.54,TK,1742079172
168,bender,46.8306,29.4711,13.51,69,100,6.02,MD,1742079174
169,moron,-34.6534,-58.6198,21.94,69,0,8.05,AR,1742079175
170,constantia,44.1833,28.65,17.61,47,100,5.51,RO,1742079176
171,lata,40.1629,-8.3327,6.8,95,100,1.5,PT,1742079177
172,darwin,-12.4611,130.8418,23.99,94,75,2.06,AU,1742079178
173,karratha,-20.7377,116.8463,31.27,53,46,2.3,AU,1742079179
174,zeya,53.75,127.2667,-17.83,92,82,0.32,RU,1742079180
175,filadelfia,39.9523,-75.1638,12.94,84,100,2.57,US,1742079182
176,flying fish cove,-10.4217,105.6791,24.82,100,100,2.06,CX,1742079183
177,pacific grove,36.6177,-121.9166,16.05,71,100,3.6,US,1742079184
178,horta,38.5333,-28.6333,13.8,77,40,15.95,PT,1742079185
179,marquette,46.5333,-87.6335,10.75,72,71,4.02,US,1742079186
180,wailua homesteads,22.0669,-159.378,25.44,78,20,6.69,US,1742079187
181,gravenhurst,44.9168,-79.3663,11.1,76,100,6.69,CA,1742079188
182,montagu,-40.7667,144.9667,12.82,77,87,8.67,AU,1742079189
183,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,46,0,5.0,RU,1742079190
184,volosovo,59.4333,29.4833,-1.18,73,94,6.67,RU,1742079191
185,utmanzai,34.188,71.7629,13.65,80,98,0.27,PK,1742079192
186,edson,53.5835,-116.4356,-8.92,73,100,3.09,CA,1742079193
187,chadan,51.2833,91.5833,-19.72,100,100,0.17,RU,1742079194
188,fort st. john,56.2499,-120.8529,-10.06,57,100,3.6,CA,1742079195
189,luderitz,-26.6481,15.1594,16.47,87,0,4.11,,1742079196
190,manismata,-2.4667,111.0333,23.05,95,100,0.81,ID,1742079197
191,ugoofaaru,5.6667,73.0,27.77,75,19,3.2,MV,1742079198
192,maues,-3.3836,-57.7186,24.15,97,100,1.34,BR,1742079199
193,alzamay,55.5562,98.6644,-13.04,99,88,1.3,RU,1742079201
194,arkhara,49.4212,130.0842,-17.92,98,94,0.62,RU,1742079202
195,ponta delgada,37.7333,-25.6667,14.4,94,75,14.4,PT,1742079203
196,basco,20.4487,121.9702,24.69,86,79,13.41,PH,1742079204
197,antalaha,-14.9003,50.2788,25.18,91,99,1.28,MG,1742079205
198,hailey,43.5196,-114.3153,2.92,38,40,4.63,US,1742079206
199,chonchi,-42.6128,-73.8092,13.4,88,86,0.14,CL,1742079207
200,nagqu,31.5,92.0,-3.43,22,1,9.02,CN,1742079208
201,lompoc,34.6391,-120.4579,17.4,56,0,7.72,US,1742078928
202,vorgashor,67.5833,63.95,-8.85,89,100,12.39,RU,1742079210
203,thongwa,16.7619,96.5278,24.18,56,94,1.05,MM,1742079211
204,chato,-2.6378,31.7669,19.71,82,97,4.39,TZ,1742079212
205,isafjordur,66.0755,-23.124,1.54,96,100,3.94,IS,1742079213
206,qujing,25.4833,103.7833,5.01,89,100,2.05,CN,1742079214
207,kitimat,54.0524,-128.6534,4.39,65,100,1.19,CA,1742079215
208,flekkefjord,58.2971,6.6607,4.05,91,100,4.43,NO,1742079216
209,whitehorse,60.7161,-135.0538,-6.66,47,100,0.0,CA,1742079217
210,papao,-17.75,-149.55,30.82,79,12,7.97,PF,1742079218
211,carutapera,-1.195,-46.02,24.56,93,38,2.43,BR,1742079219
212,margaret river,-33.95,115.0667,15.64,76,3,4.79,AU,1742079221
213,port saint john's,-31.6229,29.5448,21.31,83,100,6.08,ZA,1742079222
214,micheweni,-4.9667,39.8333,27.57,79,49,1.76,TZ,1742079223
215,piotrkow trybunalski,51.4055,19.7032,0.1,71,100,2.49,PL,1742079224
216,chuka,-0.3332,37.6459,18.43,67,90,2.05,KE,1742079225
217,hawaiian paradise park,19.5933,-154.9731,26.73,78,40,4.63,US,1742079226
218,praia da vitoria,38.7333,-27.0667,13.14,94,75,16.49,PT,1742079227
219,houghton,47.1219,-88.569,7.08,96,100,7.72,US,1742079228
220,newnham,-41.3833,147.1333,20.53,88,75,8.75,AU,1742079229
221,colonia,50.9333,6.95,5.53,72,0,4.63,DE,1742079230
222,sisimiut,66.9395,-53.6735,-14.44,80,2,4.15,GL,1742079231
223,tofol,5.3248,163.0078,25.88,89,100,7.2,FM,1742079232
224,enewetak,11.3474,162.3373,26.84,82,89,9.42,MH,1742079233
225,howrah,22.5892,88.3103,27.0,89,20,3.6,IN,1742079234
226,ulladulla,-35.35,150.4667,30.98,36,100,6.17,AU,1742079235
227,sahaswan,28.0833,78.75,19.83,40,78,2.8,IN,1742079236
228,san andres,12.5847,-81.7006,30.01,62,20,2.06,CO,1742079237
229,mandalgarh,25.2,75.1,20.19,35,28,1.56,IN,1742079239
230,nieuw amsterdam,5.8833,-55.0833,28.01,78,20,3.6,SR,1742079240
231,weyburn,49.6668,-103.8511,-9.88,73,5,6.17,CA,1742079241
232,puyang,29.4603,119.8861,7.76,93,100,1.14,CN,1742079242
233,klyuchi,52.2667,79.1667,-11.4,86,5,3.96,RU,1742079243
234,kegen,43.0197,79.2203,-9.74,83,100,2.36,KZ,1742079244
235,qaqortoq,60.7167,-46.0333,-5.13,88,100,0.15,GL,1742079245
236,port mathurin,-19.6833,63.4167,27.24,80,99,2.12,MU,1742079246
237,songling,31.1933,120.7176,5.05,75,39,4.52,CN,1742079247
238,yuzhno-kurilsk,44.0306,145.8556,-2.7,73,78,1.58,RU,1742079248
239,pervomayskiy,53.2485,40.2871,-0.6,90,100,5.39,RU,1742079249
240,kombissiri,12.0656,-1.3375,33.52,25,79,2.91,BF,1742079250
241,santiago de cao,-7.9589,-79.2392,22.07,88,74,4.12,PE,1742079251
242,st. john's,47.5649,-52.7093,-2.79,60,75,7.2,CA,1742079252
243,tileagd,47.0667,22.2,4.75,86,100,2.65,RO,1742079253
244,ancud,-41.8697,-73.8203,12.54,84,71,2.48,CL,1742079254
245,senador guiomard,-10.1522,-67.7392,23.6,95,65,1.71,BR,1742079255
246,bedarieux,43.6155,3.1571,1.6,83,0,2.21,FR,1742079257
247,port lincoln,-34.7333,135.8667,18.65,76,98,9.86,AU,1742079258
248,yanqul,23.5905,56.5501,18.57,24,1,1.65,OM,1742079259
249,parauapebas,-6.0675,-49.9022,24.4,94,7,0.72,BR,1742079260
250,uliastay,47.7417,96.8444,-19.85,59,0,3.42,MN,1742079261
251,kuala belait,4.5833,114.1833,24.98,90,95,1.78,BN,1742079262
252,nyandoma,61.669,40.1991,-4.05,84,100,6.87,RU,1742079263
253,ivanteyevka,55.9711,37.9208,-1.56,100,0,0.66,RU,1742079264
254,kirovskiy,45.0917,133.5136,-5.33,65,95,1.13,RU,1742079265
255,tumpat,6.1978,102.171,25.01,94,20,0.0,MY,1742079266
256,rikaze,29.25,88.8833,0.44,26,5,2.07,CN,1742079267
257,badiyah,22.45,58.8,22.17,21,0,2.98,OM,1742079268
258,port alfred,-33.5906,26.891,20.1,93,95,2.24,ZA,1742079269
259,xiva,41.3783,60.3639,11.95,16,8,2.83,UZ,1742079270
260,timbuktu,16.7735,-3.0074,32.29,13,2,4.87,ML,1742079272
261,quellon,-43.1167,-73.6167,11.82,87,94,1.85,CL,1742079273
262,yerofey pavlovich,53.9667,121.9667,-16.51,92,100,1.45,RU,1742079274
263,crane,31.3974,-102.3501,17.26,18,89,11.16,US,1742079276
264,grand baie,-20.0182,57.5802,28.03,84,82,1.34,MU,1742079277
